"element","name","card_name","card","rarity","max_lv","cost","atk","defense","hp","support","main_race","secondary_race","generation","main_skill","main_skill_turns","leader_skill","leader_skill_turns","source_page"
"Dark","Matadrmon","","5-884","God +","60","7","164","128","177","201","Dark","N/A","Perfect","Dark Release","6","Large Damage Return","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Metalfantomon","MetalFantomon","5-885","God +","60","7","213","153","167","146","Dark","N/A","Perfect","Weaken All Enemies","13","All Dark","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pharaohmon","","5-886","God +","60","7","176","232","204","136","Dark","N/A","Ultimate","Dark Drive","4","Small Enemy Attack Delay","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Wisemon","","5-891","King","50","53","176","138","121","123","Dark","N/A","Perfect","Small Skill Boost","14","Large Recovery Boost","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Gulfmon","","5-892","God +","60","6","206","165","168","153","Dark","N/A","Ultimate","Extra Large Damage Return","13","All Attack","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Mephismon","","5-893","God","60","6","192","132","168","132","Dark","N/A","Perfect","Enemy Attack Down Large","13","25% Defense","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Youkomon","","5-894","Queen","40","4","135","153","118","126","Dark","N/A","Adult","Large Absorption","9","Large Attack Boost","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Doumon","","5-897","King","50","5","165","175","145","130","Dark","N/A","Perfect","Small Enemy Attack Delay","9","Large Dark Attack Boost","13","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Dracumon","","5-900","Rare","20","3","138","101","108","98","Dark","N/A","Child","Large Damage to All","15","Small Skill Boost","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Soulmon","","5-901","Queen","40","4","176","106","112","112","Dark","N/A","Adult","Maximum Attack Boost","23","Evolution 1","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Sangloupmon","","5-902","Queen","40","4","148","132","144","128","Dark","N/A","Adult","All Attack","5","Large Defense Boost","15","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Granddracumon","GrandDracumon","5-903","God","60","6","158","186","127","112","Dark","N/A","Ultimate","Large Damage to All","15","Large Dark Defense Boost","13","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Skullmammon","SkullMammon","5-904","God","60","5","162","112","251","127","Dark","N/A","Ultimate","Small Absorption","6","Maximum Defense Boost","24","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Death-X-Dorugamon","Death-X-DORUgamon","5-936","Queen","40","4","162","133","134","109","Dark","N/A","Adult","Weaken Holy Enemies","11","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Death-X-Doruguremon","Death-X-DORUguremon","5-937","King","50","5","196","146","128","98","Dark","N/A","Perfect","Dark Release","7","Maximum Dark Attack Boost","22","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Beelzebumon","","5-979","SP +","70","7","218","155","161","161","Dark","N/A","Ultimate","Large Damage to All","15","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Ladydevimon","LadyDevimon","6-037","King","50","6","155","130","158","123","Dark","N/A","Perfect","Extra Large Damage Return","13","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pinochimon","","6-039","God","60","6","142","149","143","168","Dark","N/A","Ultimate","Holy Support","4","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Venomvamdemon","VenomVamdemon","6-042","God +","60","7","234","162","164","134","Dark","N/A","Ultimate","Extra Large Damage Return","13","Dark Release","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Piemon","","6-043","God +","60","7","155","145","152","133","Dark","N/A","Ultimate","All Dark","8","75% Defense","15","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Apoclymon","","6-045","God +","60","7","223","158","185","133","Dark","N/A","Ultimate","Large Skill Boost","19","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Venomvamdemon","VenomVamdemon","6-046","God","60","7","204","158","155","131","Dark","N/A","Ultimate","Extra Large Damage Return","13","Extreme Elements","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Piemon","","6-047","God","60","7","149","142","146","131","Dark","N/A","Ultimate","All Dark","8","Weaken All Enemies","13","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Apoclymon","","6-048","God","60","7","213","147","171","127","Dark","N/A","Ultimate","Small Skill Boost","14","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Arkadimon (Ultimate)","","6-071","SP +","70","7","202","166","192","158","Dark","N/A","Ultimate","Extreme Elements","9","Weaken Holy Enemies","11","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Boogiemon","","6-073","Queen","40","3","157","126","125","98","Dark","N/A","Adult","Large Defense Boost","14","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Darklizamon","DarkLizamon","6-074","Queen","40","3","148","124","117","134","Dark","N/A","Adult","Large Dark Attack Boost","13","25% Defense","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Phelesmon","","6-075","King","50","5","167","144","136","117","Dark","N/A","Perfect","Weaken All Enemies","14","Large Absorption","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Cerberumon Werewolfmode","Cerberumon Werewolf Mode","6-082","God +","60","7","202","168","154","145","Dark","N/A","Perfect","Large Absorption","9","Dark Release","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Scorpiomon","","6-111","God","60","6","187","138","162","121","Dark","N/A","Perfect","Enemy Defense Down Large","13","Damage All Enemies","21","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Witchmon","","6-142","Queen","40","5","127","124","125","128","Dark","N/A","Adult","Maximum Dark Attack Boost","22","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Captainhookmon","CaptainHookmon","6-147","SP +","70","7","177","155","234","146","Dark","N/A","Perfect","Suicide Attack","11","Large Absorption","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Darksuperstarmon","DarkSuperStarmon","6-149","God","60","6","182","152","152","132","Dark","N/A","Perfect","Extra Large Dark Attack Boost","18","Evolution 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pumpmon","","6-150","SP +","70","7","192","162","172","156","Dark","N/A","Perfect","All Dark","9","Big Enemy Attack Delay","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Lampmon","","6-153","God","60","7","172","172","149","155","Dark","N/A","Ultimate","Holy Seal","4","75% Defense","16","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Tyumon","","6-155","Rare","30","3","120","86","94","112","Dark","N/A","Child","Small Absorption","5","Dark Seal","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Tukaimon","","6-157","Rare","30","3","102","106","111","93","Dark","N/A","Child","Medium Recovery","7","Medium Dark Defense Boost","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pumpmon","","6-158","God","60","6","196","162","148","144","Dark","N/A","Perfect","Dark Release","7","Small Enemy Attack Delay","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Picodevimon","PicoDevimon","6-159","Queen","40","5","142","126","134","124","Dark","N/A","Child","Large Damage Return","9","Evolution 1","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Wizarmon","","6-160","King","50","6","144","127","128","140","Dark","N/A","Adult","Holy Support","4","Large Absorption","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Diablomon","","6-203","God +","60","7","192","138","201","143","Dark","N/A","Ultimate","Recovery Boost 1","5","Small Dark Attack Boost","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Diablomon","","6-203","God +","60","7","192","138","201","143","Dark","N/A","Ultimate","All Dark","9","Large Absorption","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Infermon","","6-204","King","50","5","168","166","144","114","Dark","N/A","Perfect","Large Damage to All","15","Enemy Defense Down Extra Large","18","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Orochimon","","6-219","SP +","60","7","220","231","134","167","Dark","N/A","Perfect","Extra Large Defense Boost","22","Total Recovery","15","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Megidramon","","6-228","God +","60","7","198","114","233","121","Dark","N/A","Ultimate","Large Absorption","9","Evolution 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Leviamon","","6-247","SP +","70","7","225","123","231","167","Dark","N/A","Ultimate","Enemy Attack Down Large","13","Evolution 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Leviamon","","6-247","SP +","70","7","225","123","231","167","Dark","N/A","Ultimate","Small Dark Defense Boost","6","Enemy Defense Down Small","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Meramon","","6-250","King","50","5","112","132","198","113","Dark","N/A","Adult","Holy Support","4","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Devitamamon","","6-253","God","60","7","204","214","176","54","Dark","N/A","Ultimate","Small Enemy Attack Delay","9","Small Enemy Attack Delay","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pajiramon","","6-257","King","50","5","129","151","189","124","Dark","N/A","Perfect","Medium Damage to All","11","Enemy Attack Down Large","13","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Bluemeramon","BlueMeramon","6-335","God +","40","7","116","104","133","100","Dark","N/A","Perfect","Holy Support","4","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Calmaramon","","6-341","God","60","7","130","156","128","215","Dark","N/A","Hybrid","Medium Defense Boost","7","Medium Damage to All","11","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Phelesmon","","6-347","God +","60","7","203","146","188","186","Dark","N/A","Perfect","Medium Damage Return","6","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","FlaWizarmon","","6-348","Queen","40","4","104","87","125","176","Dark","N/A","Armor","Small Defense Boost","5","Medium Recovery Boost","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Blackseraphimon","BlackSeraphimon","6-381","God +","60","7","119","147","181","157","Dark","N/A","Ultimate","Wild Boost","7","Evolution 1","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Ginkakumon","","6-382","Queen","40","4","165","214","121","58","Dark","N/A","Adult","Weaken Holy Enemies","12","Medium Defense Boost","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Impmon","","6-402","God","40","7","140","148","208","101","Dark","N/A","Child","Enemy Attack Down Medium","8","Evolution 1","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Arkadimon (child)","Arkadimon (Child)","6-403","Rare","30","5","132","100","121","86","Dark","N/A","Child","Small Dark Attack Boost","6","Enemy Defense Down Small","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Warumonzaemon","WaruMonzaemon","6-422","King","50","5","208","99","202","104","Dark","N/A","Perfect","Holy Seal","5","Large Absorption","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Grandgeneramon","GrandGeneramon","6-426","God","60","7","186","159","213","110","Dark","N/A","Xros Wars","Large Dark Defense Boost","13","Evolution 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Parasimon","","6-428","King","50","5","102","143","98","62","Dark","N/A","Ultimate","Small Absorption","4","Wild Boost","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
